"ID","Preferred Foot","Position","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Composure","Marking","StandingTackle","SlidingTackle"
190460,"Right","CAM","5'11","168lbs",88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,88,59,57,22
189242,"Right","LW","5'8","150lbs",79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,85,55,54,47
188567,"Right","LM","6'2","176lbs",77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,86,27,25,36
178603,"Right","LCB","6'3","203lbs",64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,91,88,90,88
176676,"Left","LB","5'9","176lbs",90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,86,71,85,86
173731,"Left","ST","6'1","181lbs",87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,86,54,55,52
167948,"Left","GK","6'2","181lbs",13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,65,29,10,18
164240,"Right","RCB","6'0","181lbs",60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,81,88,89,85
162835,"Right","GK","6'4","203lbs",12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,69,25,10,13
1179,"Right","GK","6'4","203lbs",13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,70,13,11,11
205600,"Left","CB","6'0","165lbs",69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,82,90,89,86
201399,"Right","ST","5'11","165lbs",46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,85,45,24,20
201024,"Right","LCB","6'2","196lbs",30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,78,91,88,86
195864,"Right","RDM","6'4","185lbs",80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,87,66,70,68
193041,"Right","GK","6'1","176lbs",11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,67,28,14,14
192505,"Left","ST","6'3","207lbs",78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,83,30,30,30
192387,"Right","ST","6'1","187lbs",55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,81,34,33,32
189332,"Left","LB","5'7","150lbs",87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,79,72,84,85
175943,"Right","RF","5'7","134lbs",77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,81,25,40,40
172871,"Left","LCB","6'2","190lbs",68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,83,90,87,88
171877,"Right","LCM","6'0","174lbs",78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,84,75,73,62
168651,"Right","RCM","6'0","172lbs",84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,81,72,74,70
152729,"Right","RCB","6'4","187lbs",57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,86,91,86,84
222492,"Left","LW","6'0","165lbs",83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,78,36,32,35
218667,"Left","RW","5'8","141lbs",85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,85,49,44,35
210257,"Left","GK","6'2","190lbs",20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,70,28,15,8
208722,"Right","LM","5'9","152lbs",73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,80,42,42,38
203376,"Right","LCB","6'4","203lbs",53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,83,88,89,84
202652,"Right","RW","5'7","152lbs",77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,77,47,58,54
201942,"Right","CAM","5'11","168lbs",72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,87,60,64,42
201535,"Right","RCB","6'3","179lbs",36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,82,87,88,87
199556,"Right","LCM","5'5","132lbs",72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,93,78,83,80
191043,"Left","LB","5'11","176lbs",84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,82,81,84,84
190483,"Left","LM","5'8","154lbs",84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,84,45,38,34
189596,"Right","CAM","6'1","165lbs",79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,83,44,41,44
189509,"Right","CM","5'9","154lbs",72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,85,67,63,65
188350,"Right","LM","5'11","157lbs",79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,84,47,36,45
184432,"Right","RB","5'10","168lbs",81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,78,88,90,86
184344,"Right","RCB","6'3","187lbs",44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,86,90,86,80
184087,"Right","RCB","6'1","179lbs",64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,81,90,91,86
180206,"Right","CDM","5'10","159lbs",80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,86,75,74,70
177509,"Right","CB","6'2","207lbs",45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,82,89,87,85
176635,"Left","CAM","5'11","168lbs",83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,82,24,16,19
135507,"Right","CDM","5'10","148lbs",68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,79,85,85,80
41,"Right","LF","5'7","150lbs",77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,89,67,57,56
232363,"Right","LCB","6'2","176lbs",40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,80,92,88,82
223848,"Right","CM","6'3","168lbs",64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,82,75,77,72
220834,"Left","RW","6'0","168lbs",82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,83,40,42,39
216594,"Left","CAM","5'8","165lbs",83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,89,31,37,25
212831,"Right","GK","6'3","201lbs",17,13,19,45,20,27,19,18,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,66,65,15,19,16
212622,"Right","RCM","5'9","154lbs",90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,82,75,81,79
208421,"Left","RCM","6'0","170lbs",69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,83,77,79,76
204485,"Left","RW","5'10","148lbs",81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,86,45,31,18
197445,"Left","LB","5'11","168lbs",81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,79,80,82,80
193747,"Right","LM","5'9","163lbs",86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,78,80,69,51
193301,"Right","ST","5'9","161lbs",64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,85,29,42,30
192774,"Right","LCB","6'2","183lbs",27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,79,86,87,89
192366,"Right","CB","6'0","179lbs",52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,80,83,85,84
189513,"Right","RCM","6'0","163lbs",84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,78,69,68,60
186153,"Right","GK","6'5","198lbs",12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,65,20,13,12
184941,"Right","RW","5'7","163lbs",77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,84,38,44,35
184267,"Right","LM","5'9","146lbs",79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,90,51,36,25
183907,"Right","RCB","6'4","198lbs",69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,84,84,87,87
181872,"Right","CAM","5'11","165lbs",76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,82,87,86
181458,"Right","LM","6'1","176lbs",83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,80,64,52,54
180930,"Right","ST","6'4","185lbs",63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,83,58,28,16
179846,"Right","RCM","6'2","198lbs",72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,84,80,83,76
179844,"Right","LS","6'2","190lbs",65,87,82,65,81,77,62,59,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,74,83,58,39,34
178518,"Right","CAM","5'9","170lbs",73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,84,83,86,90
171919,"Right","CB","6'6","201lbs",45,57,94,76,60,60,52,76,70,68,60,65,46,85,36,92,45,61,83,82,72,83,53,59,84,86,88,85
170890,"Left","LM","5'11","165lbs",75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,82,85,84,86
168609,"Right","CB","6'1","172lbs",48,43,80,70,51,67,32,39,69,73,66,69,61,81,57,70,82,65,79,41,83,85,43,58,81,90,90,85
165153,"Right","ST","6'1","179lbs",75,81,80,83,82,83,79,73,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,85,79,47,15,12
164169,"Left","LB","6'0","163lbs",86,59,72,80,56,77,74,75,77,83,76,75,75,85,62,71,71,89,74,60,81,84,71,70,88,78,84,86
139720,"Right","CB","6'3","187lbs",61,45,84,73,46,63,61,52,66,70,52,59,57,87,41,75,72,66,87,55,87,82,41,59,81,87,85,84
120533,"Right","RCB","6'2","179lbs",46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,60,86,56,94,85,40,48,79,86,85,82
41236,"Right","RS","6'5","209lbs",73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,90,28,37,24
220793,"Right","RCB","6'2","174lbs",36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,75,84,85,88
216460,"Right","RCB","6'1","176lbs",47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,92,67,85,48,89,85,24,27,73,88,86,87
212462,"Left","LB","5'11","157lbs",89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,74,80,80,81,79
212218,"Left","LCB","6'2","187lbs",58,45,85,76,40,59,61,69,78,73,62,66,45,83,55,68,75,67,82,47,75,85,54,57,77,85,86,87
212198,"Right","LCM","5'10","152lbs",84,73,58,85,84,83,85,81,82,85,79,76,77,84,78,87,72,89,67,88,65,70,79,86,83,63,66,53
212190,"Right","CB","6'5","214lbs",30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,82,26,30,72,82,85,83
211300,"Right","LW","6'0","168lbs",76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,73,79,38,39,36
211117,"Right","LCM","6'2","176lbs",69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,85,86,70,70,63
209499,"Right","CDM","6'2","172lbs",79,66,75,83,47,76,71,53,78,82,69,72,69,83,67,78,75,92,79,65,85,84,70,75,84,83,86,84
207865,"Right","LDM","6'0","165lbs",72,33,80,81,31,59,49,32,78,76,73,76,69,81,68,53,86,75,74,35,80,84,46,51,79,85,87,87
207566,"Right","CDM","6'2","183lbs",68,52,73,84,50,80,79,50,86,79,49,53,51,75,51,59,69,84,90,55,75,84,64,83,89,84,85,68
205498,"Right","CM","5'11","148lbs",75,57,56,89,71,82,75,76,87,85,75,69,80,83,73,71,58,79,66,62,79,78,72,87,79,63,78,70
204970,"Left","RM","5'10","154lbs",83,81,75,83,74,85,86,72,76,86,87,80,86,83,71,83,76,83,66,82,56,42,83,80,82,46,29,31
204963,"Right","RB","5'8","161lbs",83,41,70,81,34,76,72,47,71,83,79,84,81,82,79,64,76,84,74,36,81,83,61,57,77,83,83,85
202556,"Right","ST","5'9","172lbs",79,79,65,80,74,85,85,88,74,85,87,87,82,79,79,87,74,79,80,81,76,28,83,82,79,29,31,20
200104,"Right","LM","6'0","143lbs",78,85,65,79,79,88,81,70,64,85,88,87,82,84,76,86,63,85,63,88,60,39,85,80,82,48,34,33
199482,"Left","GK","6'0","179lbs",19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,20,82,36,73,18,43,25,9,48,65,13,15,13
198176,"Right","CB","6'2","172lbs",49,25,80,71,27,63,45,16,71,71,67,69,61,80,59,65,76,66,80,60,78,87,32,59,82,88,87,83
198009,"Right","GK","6'2","170lbs",11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,44,65,20,12,19
193082,"Right","RAM","5'10","159lbs",80,67,58,80,70,90,78,69,69,85,89,93,91,80,82,84,75,78,61,80,78,62,78,76,80,63,70,74
192629,"Left","ST","5'9","148lbs",80,88,78,79,83,86,80,76,64,85,85,78,87,85,74,79,68,75,60,82,63,39,86,75,85,39,21,18
192563,"Right","GK","6'3","183lbs",9,9,13,45,10,16,9,8,40,22,46,52,52,80,44,23,73,43,68,14,28,22,7,54,66,27,15,18
191202,"Left","CDM","6'4","187lbs",71,64,74,84,73,80,72,67,83,79,52,59,44,83,50,83,67,84,85,75,80,86,69,73,84,83,84,75
190941,"Right","GK","6'4","187lbs",11,11,11,15,9,10,11,15,20,20,38,44,43,83,39,14,69,34,55,14,31,18,9,53,48,10,10,13
190584,"Right","RDM","5'10","165lbs",68,72,51,86,58,78,76,68,82,83,66,57,71,84,75,69,63,77,68,76,76,87,79,86,79,69,83,80
188377,"Right","RB","6'0","154lbs",81,51,74,78,57,79,76,71,67,78,86,93,67,83,72,86,83,89,75,69,78,81,67,69,75,78,84,83
186942,"Right","CM","5'11","176lbs",74,73,50,88,75,85,81,74,83,86,67,68,78,85,78,77,61,69,72,73,70,77,79,86,87,73,68,64
185020,"Right","RM","5'10","161lbs",82,78,65,80,84,82,73,65,51,85,88,89,85,82,80,78,73,91,55,80,54,40,88,78,79,64,32,32
183898,"Left","RM","5'11","152lbs",83,72,51,82,77,86,84,82,79,85,85,84,92,80,77,83,72,73,60,77,73,38,82,82,82,35,59,56
181783,"Right","ST","6'3","187lbs",72,84,90,75,86,76,64,49,67,77,67,73,67,86,53,80,85,83,85,60,88,66,90,74,80,59,64,64
180403,"Right","RW","5'9","172lbs",76,77,31,80,59,88,82,83,77,84,91,86,89,82,79,79,41,85,60,81,44,55,80,83,79,43,57,51
178750,"Right","GK","6'2","192lbs",24,14,13,39,15,15,23,22,39,14,59,54,62,79,58,24,73,41,73,13,20,22,12,46,64,24,15,14
178562,"Right","CDM","5'9","157lbs",80,66,49,88,65,84,83,81,87,86,68,64,79,77,83,74,57,74,67,78,73,76,75,88,80,75,69,64
177413,"Right","LCM","6'2","179lbs",69,71,80,89,77,78,69,68,79,84,67,74,78,84,60,78,76,86,82,74,82,80,75,79,89,80,79,85
177388,"Right","CAM","5'9","170lbs",87,78,59,84,77,86,90,84,80,90,75,72,79,75,80,80,48,73,72,82,57,37,79,87,82,32,36,39
176769,"Right","ST","5'11","163lbs",70,88,84,76,85,84,85,77,75,88,65,64,77,85,69,84,69,66,63,85,61,34,87,83,87,31,36,25
172879,"Right","RCB","6'1","187lbs",47,44,85,60,46,58,29,35,51,58,64,73,60,81,64,77,86,69,86,48,88,77,49,45,82,85,87,85
167628,"Right","GK","6'2","205lbs",11,11,12,33,13,12,17,12,34,15,45,50,51,78,55,21,72,37,76,11,31,25,12,49,66,13,12,11
167397,"Right","RS","5'10","159lbs",55,86,89,79,84,75,83,73,58,82,69,66,76,85,75,79,91,68,75,80,75,41,88,70,87,39,42,19
163587,"Right","GK","6'2","196lbs",18,12,16,44,15,12,13,15,46,40,59,60,62,81,47,36,60,34,64,14,35,20,13,59,67,14,14,13
157481,"Right","RCB","6'3","181lbs",38,27,77,74,31,59,53,45,72,71,54,53,53,82,56,65,77,55,82,53,81,86,30,57,75,89,87,85
143076,"Right","LS","5'5","150lbs",82,76,38,82,72,89,79,79,74,87,94,86,92,83,94,76,70,75,48,79,56,40,81,85,84,50,30,34
137186,"Right","CB","6'2","192lbs",40,21,72,65,35,64,50,31,65,65,61,77,52,80,64,54,81,53,83,39,66,90,28,62,88,94,90,82
20775,"Right","RM","5'9","148lbs",92,67,41,79,80,89,94,73,75,88,84,82,91,78,84,79,63,65,55,80,74,24,78,84,80,29,17,13
9014,"Left","RM","5'11","176lbs",80,85,51,82,86,89,90,81,71,88,83,76,87,85,90,86,60,64,67,86,47,37,84,80,85,30,26,26
231443,"Left","RW","5'10","148lbs",78,78,43,78,76,90,78,64,70,83,93,92,90,82,85,83,59,73,46,70,54,36,79,84,75,42,30,33
230666,"Right","ST","5'9","161lbs",66,84,74,76,72,86,76,54,66,85,87,85,92,86,91,78,77,84,68,73,73,32,88,77,82,53,23,19
230481,"Right","RW","5'10","165lbs",83,74,64,83,76,85,86,78,82,83,88,87,85,84,76,82,64,86,70,78,62,40,82,83,81,24,35,33
230375,"Right","LCB","6'1","176lbs",40,38,83,74,44,56,45,49,61,70,83,78,77,85,68,53,69,76,73,41,88,84,38,42,71,85,87,82
230294,"Right","ST","6'2","183lbs",56,85,83,73,82,75,59,67,47,74,79,83,55,84,55,85,84,56,87,82,65,32,83,58,79,26,27,24
225850,"Left","LCB","6'2","176lbs",62,31,79,79,33,58,50,32,75,78,75,78,74,79,65,55,77,80,84,39,85,83,39,60,80,80,83,83
220971,"Right","CM","5'8","141lbs",62,74,42,88,71,88,64,70,78,88,78,60,89,82,90,76,53,82,58,73,78,75,74,81,79,68,62,61
219683,"Right","CM","5'11","179lbs",67,75,82,84,62,77,66,73,86,81,75,66,75,83,74,82,90,87,77,81,81,76,79,80,74,75,78,71
213565,"Left","LM","5'7","137lbs",83,75,54,84,78,85,85,81,75,86,86,84,87,80,86,79,71,79,63,76,63,66,77,85,80,55,59,63
213345,"Right","LM","5'10","157lbs",81,76,52,77,77,88,84,70,63,83,95,93,87,81,84,77,75,76,61,73,36,23,79,75,75,29,17,15
213331,"Right","CB","6'5","214lbs",35,20,80,74,24,55,30,27,69,64,64,77,48,82,44,44,72,63,93,25,76,80,27,61,75,80,88,84
212188,"Right","RW","5'11","165lbs",69,87,76,77,82,83,62,56,55,84,93,93,81,86,76,74,78,83,59,67,63,37,85,61,74,39,20,19
210008,"Left","CM","6'4","176lbs",70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,76,80,76,80,82,70,81,75
209658,"Right","CM","6'2","174lbs",75,72,75,84,68,81,76,75,79,83,84,79,76,83,70,77,67,86,70,78,80,83,77,82,80,70,79,78
208808,"Right","RM","5'9","159lbs",79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,81,78,36,30,32
208670,"Left","RAM","5'11","143lbs",84,68,53,86,77,83,90,78,89,83,76,74,85,82,78,80,38,86,59,75,71,62,75,88,83,52,66,36
208618,"Right","RW","5'8","154lbs",86,73,52,83,54,82,82,75,75,83,84,79,79,85,84,82,68,90,57,80,65,44,81,83,75,42,50,44
208418,"Right","LM","5'11","161lbs",78,79,53,77,68,88,81,78,71,87,89,87,88,83,71,84,68,74,59,75,61,18,81,71,75,58,39,26
208093,"Left","LS","5'11","170lbs",61,83,80,78,79,78,71,56,56,81,77,80,70,82,69,81,72,72,74,77,55,40,83,58,72,43,41,41
207863,"Right","RCB","6'3","190lbs",45,39,81,74,44,57,32,30,67,62,60,67,52,77,57,46,90,78,86,41,92,81,34,50,75,85,85,79
206585,"Right","GK","6'1","187lbs",25,11,17,32,18,10,25,19,36,16,34,33,41,79,39,25,71,37,51,14,18,21,15,55,63,19,18,16
206545,"Right","RCM","5'10","165lbs",72,71,74,86,63,80,80,69,83,83,68,65,76,82,72,81,77,77,63,80,71,69,77,84,73,70,73,60
206113,"Right","ST","5'9","165lbs",74,81,46,79,83,87,64,62,68,83,92,90,87,80,88,85,64,68,68,81,63,38,80,74,74,45,48,45
204935,"Left","GK","6'1","170lbs",17,19,15,55,20,14,18,16,55,40,53,44,55,83,55,31,72,45,70,13,30,24,18,68,69,16,20,12
204639,"Right","CB","6'2","174lbs",35,34,85,72,27,47,34,28,69,68,55,61,61,82,49,43,87,58,77,31,83,84,29,41,75,86,83,84
203574,"Right","RCB","6'2","154lbs",62,29,83,81,27,69,47,29,74,80,67,71,61,82,59,46,75,79,77,38,79,81,48,67,80,85,85,82
202651,"Left","RW","5'9","154lbs",84,70,50,86,72,88,87,80,75,89,83,77,86,78,84,78,50,77,56,87,23,20,76,84,76,50,23,18
202166,"Right","CM","6'2","170lbs",83,78,65,84,84,88,78,76,79,89,78,77,80,83,75,86,75,69,66,82,48,66,79,84,83,39,64,44
201995,"Right","LM","5'9","154lbs",79,71,44,80,68,90,71,69,74,88,93,89,89,74,88,83,38,72,53,84,67,69,73,79,82,47,60,54
